zip_code,city,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,2026-06-07,69.5,62.2,Overcast
90045,Los Angeles,2026-06-08,70.2,62.3,Sunny
90045,Los Angeles,2026-06-09,72.0,63.6,Sunny
10001,New York,2026-06-07,89.2,65.1,Sunny
10001,New York,2026-06-08,82.6,61.1,Sunny
10001,New York,2026-06-09,87.0,63.4,Sunny
60601,Chicago,2026-06-07,73.8,67.5,Patchy rain nearby
60601,Chicago,2026-06-08,70.3,66.2,Patchy rain nearby
60601,Chicago,2026-06-09,77.7,65.3,Patchy rain nearby
98101,Seattle,2026-06-07,62.6,45.9,Partly Cloudy
98101,Seattle,2026-06-08,56.3,48.1,Moderate rain
98101,Seattle,2026-06-09,60.2,49.6,Moderate rain
33101,Miami,2026-06-07,86.0,76.3,Patchy rain nearby
33101,Miami,2026-06-08,84.5,80.3,Patchy rain nearby
33101,Miami,2026-06-09,84.5,80.5,Partly Cloudy
77001,Houston,2026-06-07,87.6,77.4,Patchy rain nearby
77001,Houston,2026-06-08,90.7,78.2,Patchy rain nearby
77001,Houston,2026-06-09,92.5,77.0,Patchy rain nearby
85001,Phoenix,2026-06-07,108.1,74.7,Sunny
85001,Phoenix,2026-06-08,102.7,79.2,Sunny
85001,Phoenix,2026-06-09,103.7,79.2,Sunny
19101,Philadelphia,2026-06-07,87.3,65.5,Sunny
19101,Philadelphia,2026-06-08,84.3,62.9,Sunny
19101,Philadelphia,2026-06-09,85.7,57.9,Sunny
30301,Atlanta,2026-06-07,91.4,65.5,Sunny
30301,Atlanta,2026-06-08,70.7,69.3,Heavy rain
30301,Atlanta,2026-06-09,85.5,67.2,Patchy rain nearby
55401,Minneapolis,2026-06-07,91.4,64.2,Patchy rain nearby
55401,Minneapolis,2026-06-08,82.9,68.1,Patchy rain nearby
55401,Minneapolis,2026-06-09,78.6,70.3,Moderate rain
80201,Denver,2026-06-07,91.5,62.9,Sunny
80201,Denver,2026-06-08,90.8,64.1,Sunny
80201,Denver,2026-06-09,94.4,63.1,Sunny
94102,San Francisco,2026-06-07,73.2,47.7,Sunny
94102,San Francisco,2026-06-08,60.4,52.7,Partly Cloudy
94102,San Francisco,2026-06-09,61.9,55.3,Patchy rain nearby
78201,San Antonio,2026-06-07,91.2,77.1,Overcast
78201,San Antonio,2026-06-08,89.0,73.5,Patchy rain nearby
78201,San Antonio,2026-06-09,89.8,73.1,Patchy rain nearby
02101,Boston,2026-06-07,84.7,56.7,Patchy rain nearby
02101,Boston,2026-06-08,72.5,54.8,Sunny
02101,Boston,2026-06-09,83.4,55.7,Sunny
48201,Detroit,2026-06-07,86.5,61.7,Sunny
48201,Detroit,2026-06-08,80.4,59.9,Sunny
48201,Detroit,2026-06-09,69.5,66.0,Heavy rain
97201,Portland,2026-06-07,65.3,46.9,Partly Cloudy
97201,Portland,2026-06-08,51.6,49.0,Heavy rain
97201,Portland,2026-06-09,63.2,48.9,Patchy rain nearby
70112,New Orleans,2026-06-07,87.1,76.3,Patchy rain nearby
70112,New Orleans,2026-06-08,89.1,75.3,Patchy rain nearby
70112,New Orleans,2026-06-09,91.6,76.1,Patchy rain nearby
89101,Las Vegas,2026-06-07,104.7,74.7,Sunny
89101,Las Vegas,2026-06-08,95.7,64.9,Sunny
89101,Las Vegas,2026-06-09,94.9,63.9,Sunny
84101,Salt Lake City,2026-06-07,84.7,54.0,Sunny
84101,Salt Lake City,2026-06-08,83.3,51.6,Partly Cloudy
84101,Salt Lake City,2026-06-09,69.9,49.2,Patchy rain nearby
46201,Indianapolis,2026-06-07,89.4,70.2,Patchy rain nearby
46201,Indianapolis,2026-06-08,71.8,65.6,Patchy rain nearby
46201,Indianapolis,2026-06-09,77.6,68.2,Patchy rain nearby
28201,Charlotte,2026-06-07,95.9,66.2,Sunny
28201,Charlotte,2026-06-08,79.6,70.8,Partly Cloudy
28201,Charlotte,2026-06-09,68.3,66.8,Moderate rain
37201,Nashville,2026-06-07,89.1,68.6,Patchy rain nearby
37201,Nashville,2026-06-08,76.2,67.5,Heavy rain
37201,Nashville,2026-06-09,79.3,69.5,Heavy rain
73101,Oklahoma City,2026-06-07,89.7,67.8,Moderate rain
73101,Oklahoma City,2026-06-08,93.9,73.6,Sunny
73101,Oklahoma City,2026-06-09,93.3,74.8,Sunny
87101,Albuquerque,2026-06-07,89.9,64.9,Patchy rain nearby
87101,Albuquerque,2026-06-08,91.2,66.4,Patchy rain nearby
87101,Albuquerque,2026-06-09,93.4,64.2,Patchy rain nearby
50301,Des Moines,2026-06-07,83.1,69.3,Patchy rain nearby
50301,Des Moines,2026-06-08,82.8,67.9,Patchy rain nearby
50301,Des Moines,2026-06-09,88.8,70.6,Patchy rain nearby
66101,Kansas City,2026-06-07,79.5,69.5,Moderate rain
66101,Kansas City,2026-06-08,83.8,67.9,Patchy rain nearby
66101,Kansas City,2026-06-09,88.1,73.6,Sunny
68101,Omaha,2026-06-07,80.1,68.2,Moderate rain
68101,Omaha,2026-06-08,88.9,65.5,Sunny
68101,Omaha,2026-06-09,93.8,74.0,Thundery outbreaks in nearby
72201,Little Rock,2026-06-07,91.4,73.2,Patchy rain nearby
72201,Little Rock,2026-06-08,95.9,71.7,Patchy rain nearby
72201,Little Rock,2026-06-09,95.8,74.0,Sunny
53201,Milwaukee,2026-06-07,69.3,57.7,Sunny
53201,Milwaukee,2026-06-08,66.2,59.2,Patchy rain nearby
53201,Milwaukee,2026-06-09,70.1,61.1,Patchy rain nearby
61601,Peoria,2026-06-07,92.5,69.9,Moderate rain
61601,Peoria,2026-06-08,79.9,68.5,Moderate rain
61601,Peoria,2026-06-09,89.7,67.9,Patchy rain nearby
64101,Kansas City,2026-06-07,78.8,69.4,Heavy rain
64101,Kansas City,2026-06-08,83.7,67.9,Patchy rain nearby
64101,Kansas City,2026-06-09,88.1,73.4,Sunny
23219,Richmond,2026-06-07,95.7,66.2,Sunny
23219,Richmond,2026-06-08,88.4,64.2,Partly Cloudy
23219,Richmond,2026-06-09,84.6,59.4,Partly Cloudy
37501,Memphis,2026-06-07,90.7,73.0,Patchy rain nearby
37501,Memphis,2026-06-08,90.1,72.3,Moderate rain
37501,Memphis,2026-06-09,89.8,72.5,Heavy rain
40201,Louisville,2026-06-07,90.9,68.8,Sunny
40201,Louisville,2026-06-08,71.6,66.8,Heavy rain
40201,Louisville,2026-06-09,74.6,68.4,Moderate rain
45201,Cincinnati,2026-06-07,92.5,69.3,Patchy rain nearby
45201,Cincinnati,2026-06-08,78.1,65.7,Moderate rain
45201,Cincinnati,2026-06-09,76.1,68.1,Patchy rain nearby
54601,La Crosse,2026-06-07,90.5,64.4,Heavy rain
54601,La Crosse,2026-06-08,76.2,65.6,Moderate rain
54601,La Crosse,2026-06-09,82.4,65.7,Patchy rain nearby
